ISO_lokal	MJD	UTC	CENT	CENT_status	DOOR	DOOR_status	BA	BA_status
2026-03-20T07:50:56	61119.285371	2026-03-20T06:50:56Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:51:00	61119.285428	2026-03-20T06:51:00Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:51:05	61119.285486	2026-03-20T06:51:05Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:51:11	61119.285544	2026-03-20T06:51:11Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:51:16	61119.285602	2026-03-20T06:51:16Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:51:21	61119.285660	2026-03-20T06:51:21Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:51:26	61119.285718	2026-03-20T06:51:26Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:51:30	61119.285775	2026-03-20T06:51:30Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:51:36	61119.285834	2026-03-20T06:51:36Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:51:41	61119.285892	2026-03-20T06:51:41Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:51:46	61119.285949	2026-03-20T06:51:46Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:51:51	61119.286007	2026-03-20T06:51:51Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:51:56	61119.286065	2026-03-20T06:51:56Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:52:01	61119.286123	2026-03-20T06:52:01Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:52:06	61119.286181	2026-03-20T06:52:06Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:52:11	61119.286239	2026-03-20T06:52:11Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:52:16	61119.286297	2026-03-20T06:52:16Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:52:21	61119.286354	2026-03-20T06:52:21Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:52:26	61119.286412	2026-03-20T06:52:26Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:52:31	61119.286470	2026-03-20T06:52:31Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:52:36	61119.286528	2026-03-20T06:52:36Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:52:41	61119.286586	2026-03-20T06:52:41Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:52:46	61119.286644	2026-03-20T06:52:46Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:52:51	61119.286702	2026-03-20T06:52:51Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:52:56	61119.286760	2026-03-20T06:52:56Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:53:01	61119.286818	2026-03-20T06:53:01Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:53:06	61119.286875	2026-03-20T06:53:06Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:53:11	61119.286933	2026-03-20T06:53:11Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:53:16	61119.286991	2026-03-20T06:53:16Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:53:21	61119.287049	2026-03-20T06:53:21Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:53:26	61119.287107	2026-03-20T06:53:26Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:53:31	61119.287165	2026-03-20T06:53:31Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:53:36	61119.287222	2026-03-20T06:53:36Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:53:41	61119.287280	2026-03-20T06:53:41Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:53:46	61119.287338	2026-03-20T06:53:46Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:53:51	61119.287396	2026-03-20T06:53:51Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:53:56	61119.287454	2026-03-20T06:53:56Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:54:01	61119.287512	2026-03-20T06:54:01Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:54:06	61119.287570	2026-03-20T06:54:06Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:54:11	61119.287628	2026-03-20T06:54:11Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:54:16	61119.287686	2026-03-20T06:54:16Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:54:21	61119.287743	2026-03-20T06:54:21Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:54:26	61119.287802	2026-03-20T06:54:26Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:54:31	61119.287859	2026-03-20T06:54:31Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:54:36	61119.287917	2026-03-20T06:54:36Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:54:41	61119.287975	2026-03-20T06:54:41Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:54:46	61119.288033	2026-03-20T06:54:46Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:54:51	61119.288091	2026-03-20T06:54:51Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:54:56	61119.288149	2026-03-20T06:54:56Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:55:01	61119.288206	2026-03-20T06:55:01Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:55:06	61119.288264	2026-03-20T06:55:06Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:55:11	61119.288322	2026-03-20T06:55:11Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:55:16	61119.288380	2026-03-20T06:55:16Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:55:21	61119.288438	2026-03-20T06:55:21Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:55:26	61119.288496	2026-03-20T06:55:26Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
